no;gender;party;educ;health_ins7;jobs_guar7;gov_services7;FS_poor3;FS_childcare3;FS_crime3;FS_publicschools3;FS_welfare3;FS_envir3;FS_socsec3
1;1;independent;2;7;7;1;3;3;1;3;3;3;2
2;2;Democrat;1;5;NA;5;2;2;1;1;3;1;1
3;2;Republican;2;7;5;5;1;2;1;1;1;2;1
4;1;independent;1;7;5;4;3;1;1;1;3;1;1
5;1;Republican;2;4;NA;3;2;2;1;1;2;2;2
6;2;Republican;2;NA;7;3;1;2;1;1;1;1;1
7;2;independent;2;4;4;4;1;1;2;1;1;1;1
8;1;independent;2;NA;NA;NA;2;2;2;2;2;2;2
9;2;Republican;2;NA;NA;NA;2;2;1;3;3;1;1
10;1;Democrat;2;NA;NA;NA;1;1;1;1;1;1;2
11;2;independent;2;4;4;3;NA;2;2;3;2;2;2
12;2;Republican;1;NA;4;7;2;2;2;1;3;1;1
13;1;Republican;1;1;7;7;2;2;1;1;1;2;1
14;2;Republican;2;NA;NA;NA;1;NA;1;2;1;1;2
15;2;independent;2;1;4;4;2;2;1;2;2;1;2
16;2;independent;2;NA;NA;NA;1;1;1;1;1;1;2
17;2;Democrat;1;1;1;7;1;1;1;1;3;1;2
18;1;independent;2;2;2;6;1;1;1;1;2;1;2
19;1;Democrat;2;3;4;4;2;1;2;1;2;2;2
20;1;Republican;2;NA;NA;NA;3;3;3;3;3;3;2
21;2;independent;2;3;6;6;1;2;2;1;3;1;2
22;2;independent;1;1;7;2;1;2;1;1;2;2;1
23;2;Democrat;1;5;4;NA;2;2;2;1;2;2;2
24;2;Democrat;1;NA;NA;NA;1;1;1;1;1;1;1
25;2;Democrat;2;NA;NA;NA;1;1;1;1;1;1;1
26;1;Democrat;2;2;4;5;1;1;1;1;1;1;1
27;2;independent;1;5;5;6;1;1;3;1;1;2;1
28;1;Democrat;2;NA;4;NA;2;1;2;1;3;1;3
29;1;Democrat;1;NA;NA;NA;1;2;2;2;2;2;2
30;1;independent;2;NA;NA;NA;2;1;1;1;2;1;2
31;2;Republican;1;NA;NA;NA;3;2;2;2;3;1;2
32;1;Republican;1;7;7;4;1;1;1;2;3;1;1
33;1;Republican;2;5;6;2;3;2;2;2;3;1;1
34;1;independent;1;1;2;5;1;3;2;1;2;1;1
35;2;independent;2;NA;NA;NA;1;1;1;1;1;1;1
36;2;independent;2;3;2;5;1;1;1;1;2;2;2
37;1;independent;2;NA;NA;NA;1;1;1;1;2;1;1
38;1;Democrat;2;NA;NA;NA;1;1;1;2;2;1;1
39;1;Democrat;2;NA;NA;NA;2;2;1;1;2;1;2
40;1;Democrat;2;2;2;5;1;1;1;1;1;1;1
41;2;Democrat;2;4;3;4;1;1;1;1;2;1;1
42;1;independent;2;NA;NA;NA;1;2;2;1;1;2;1
43;2;Democrat;2;NA;NA;NA;1;2;1;1;3;1;1
44;2;independent;2;NA;NA;NA;1;NA;3;1;1;1;1
45;2;Republican;2;7;1;7;1;1;1;1;1;1;1
46;2;independent;2;NA;7;4;NA;NA;2;1;2;2;NA
47;1;Democrat;2;NA;NA;NA;1;2;1;1;2;1;1
48;1;independent;2;3;4;5;1;1;3;1;2;1;1
49;2;Republican;2;NA;NA;NA;2;2;2;1;3;3;2
50;1;Democrat;2;NA;NA;NA;2;1;1;1;1;1;1
51;2;Democrat;2;NA;NA;NA;3;2;1;1;3;1;2
52;1;independent;1;1;1;6;1;2;3;2;1;3;1
53;1;Republican;2;NA;NA;NA;2;1;2;1;3;2;1
54;2;independent;2;NA;NA;NA;1;1;1;1;2;1;1
55;2;Republican;2;1;4;6;1;1;2;1;2;1;1
56;2;Republican;1;NA;NA;NA;1;1;1;1;2;1;1
57;1;independent;2;1;3;7;NA;1;1;1;3;1;2
58;2;independent;1;6;4;4;1;2;2;1;2;2;1
59;2;independent;2;4;2;5;1;1;3;1;1;2;1
60;2;independent;2;5;4;4;1;1;2;1;2;1;2
61;1;independent;2;NA;NA;NA;1;1;2;1;2;1;1
62;2;independent;2;5;5;3;2;1;1;1;2;1;1
63;1;Republican;2;NA;NA;NA;2;1;1;1;1;1;1
64;1;independent;2;1;7;7;2;2;2;1;2;1;2
65;2;Democrat;2;NA;NA;NA;1;1;1;1;1;1;1
66;2;Democrat;2;1;2;6;1;1;2;1;1;1;1
67;1;Republican;1;7;7;1;2;2;1;2;2;2;1
68;1;Democrat;2;NA;NA;NA;1;1;2;1;2;1;1
69;2;Democrat;2;NA;NA;NA;1;1;2;1;1;1;2
70;2;Democrat;2;2;2;6;1;1;1;1;1;1;1
71;2;independent;2;NA;NA;NA;1;1;1;1;1;1;1
72;1;independent;2;NA;NA;NA;1;2;1;1;2;2;1
73;1;Democrat;2;1;NA;NA;2;1;1;1;2;1;1
74;2;Democrat;2;4;NA;6;2;1;1;1;2;1;2
75;1;independent;1;4;3;5;1;1;2;1;1;1;1
76;1;Democrat;2;NA;NA;NA;1;1;1;1;2;1;2
77;1;Democrat;2;NA;NA;NA;1;1;1;1;1;1;1
78;1;independent;2;5;5;3;2;2;1;1;2;1;1
79;2;Democrat;2;1;1;7;1;1;1;1;3;1;1
80;1;Democrat;2;3;3;5;1;1;2;1;1;1;1
81;2;Democrat;2;3;3;3;1;2;1;1;2;1;2
82;1;independent;2;NA;NA;NA;1;1;1;1;3;2;2
83;2;Democrat;1;NA;NA;NA;1;1;1;1;1;2;1
84;1;Democrat;1;NA;NA;NA;2;1;1;1;2;1;1
85;2;Republican;2;NA;NA;NA;2;2;2;1;2;2;1
86;2;independent;1;2;3;7;2;1;2;1;3;1;1
87;2;Democrat;1;NA;NA;NA;2;1;1;1;2;2;1
88;1;Republican;2;NA;NA;NA;1;1;1;1;3;1;1
89;2;Democrat;2;NA;NA;NA;1;1;2;1;1;2;1
90;2;independent;2;4;NA;7;1;1;1;1;3;1;1
91;2;Democrat;2;NA;NA;NA;2;2;1;1;2;2;2
92;2;Democrat;2;NA;NA;NA;1;1;1;1;1;1;1
93;1;Republican;2;NA;NA;NA;3;2;2;1;3;1;1
94;1;independent;1;4;5;7;1;1;1;1;3;2;1
95;2;Democrat;2;NA;NA;NA;1;1;1;1;2;1;1
96;1;independent;2;NA;NA;NA;1;1;1;1;3;1;2
97;1;independent;2;NA;NA;NA;1;1;1;1;1;1;1
98;2;Democrat;2;7;1;NA;1;1;1;1;3;1;1
99;1;Republican;2;NA;NA;NA;1;1;1;1;3;2;1
100;2;independent;2;1;4;7;2;1;2;1;2;1;1
101;1;independent;2;2;4;4;1;1;1;1;2;1;2
102;2;independent;1;1;1;7;1;1;1;1;1;1;2
103;1;Democrat;1;NA;NA;NA;1;2;1;1;1;1;1
104;2;Republican;2;NA;NA;NA;2;1;2;2;2;2;1
105;1;independent;2;NA;NA;NA;1;1;2;1;2;1;1
106;2;Democrat;2;NA;NA;NA;1;2;2;1;2;2;1
107;1;independent;1;NA;NA;NA;1;2;1;1;3;1;1
108;1;Democrat;1;NA;NA;NA;1;2;1;2;3;1;1
109;2;Democrat;2;NA;NA;NA;1;2;1;1;3;1;1
110;2;Democrat;2;6;NA;NA;2;2;2;2;1;1;2
111;1;independent;1;2;NA;NA;1;1;3;2;1;2;2
112;2;Democrat;1;1;1;7;1;1;1;1;1;1;1
113;2;independent;1;NA;NA;NA;2;2;2;2;3;2;2
114;2;Democrat;2;NA;NA;NA;1;2;2;1;3;1;2
115;2;Democrat;2;4;5;NA;1;2;1;2;2;2;2
116;2;Democrat;2;NA;NA;NA;1;1;1;1;2;NA;1
117;1;independent;2;5;6;1;2;2;1;1;3;1;2
118;1;Democrat;1;4;1;1;2;2;1;1;3;1;1
119;2;Democrat;1;NA;NA;NA;1;1;1;1;1;2;1
120;1;independent;2;NA;NA;NA;2;1;1;1;2;1;3
121;2;independent;1;4;4;5;1;1;1;1;1;1;1
122;1;Democrat;2;NA;NA;NA;2;1;2;1;2;1;1
123;1;Republican;2;NA;NA;NA;3;1;1;1;3;1;1
124;2;independent;1;NA;NA;NA;2;3;3;2;NA;3;NA
125;2;Democrat;1;NA;NA;NA;1;2;1;1;2;1;1
126;1;independent;1;2;1;4;2;2;2;1;2;1;2
127;2;Republican;1;7;7;1;3;NA;2;2;3;3;1
128;1;independent;1;NA;NA;NA;1;1;1;1;1;1;1
129;2;independent;2;1;3;7;1;1;3;1;2;1;2
130;2;Democrat;2;2;3;6;1;2;2;1;1;1;1
131;2;independent;2;4;5;3;2;NA;2;1;2;1;2
132;1;Republican;2;NA;NA;NA;1;1;2;1;3;1;2
133;1;Democrat;1;4;NA;NA;1;NA;2;2;2;1;3
134;1;independent;2;1;6;6;2;NA;1;1;2;1;1
135;1;Republican;2;NA;NA;NA;2;3;2;1;2;2;1
136;2;Democrat;2;2;5;5;1;1;1;1;2;2;1
137;1;Republican;2;NA;NA;NA;NA;2;1;3;3;3;2
138;1;independent;1;NA;7;6;2;1;1;1;3;1;1
139;2;Republican;2;7;7;1;3;3;1;2;3;3;NA
140;2;Democrat;1;4;3;3;1;2;2;1;2;1;2
141;2;Democrat;1;NA;NA;NA;1;1;1;1;1;1;1
142;2;independent;1;6;6;3;2;2;1;2;3;2;1
143;1;Republican;1;6;5;2;2;2;2;2;3;3;3
144;2;Democrat;2;NA;NA;NA;1;1;3;1;1;1;2
145;2;independent;2;NA;NA;NA;NA;3;NA;NA;3;NA;2
146;2;independent;1;NA;NA;NA;1;1;1;1;1;1;1
147;1;Democrat;2;NA;NA;NA;1;1;1;1;2;1;1
148;1;Democrat;2;1;2;5;1;2;1;1;2;1;1
149;1;Republican;2;NA;NA;NA;2;NA;1;2;2;2;2
150;1;Republican;2;NA;NA;NA;2;2;2;3;3;2;2
151;2;independent;2;1;4;5;1;2;1;1;2;1;1
152;2;independent;2;NA;NA;NA;1;1;1;1;2;2;1
153;2;Democrat;2;NA;NA;NA;2;2;2;2;2;2;2
154;1;independent;2;NA;NA;NA;3;1;1;1;3;3;2
155;2;Democrat;2;NA;NA;NA;1;2;1;1;1;1;1
156;2;Democrat;2;NA;NA;NA;1;1;1;2;2;1;1
157;2;independent;2;4;5;3;1;1;1;1;3;2;3
158;1;independent;1;6;6;5;2;2;2;2;2;1;1
159;1;Republican;2;3;5;4;1;1;1;1;3;1;3
160;2;independent;2;3;4;4;2;2;1;1;2;1;2
161;1;Democrat;1;NA;NA;NA;1;2;1;1;2;1;1
162;1;Republican;2;NA;NA;NA;2;3;2;1;1;1;1
